To celebrate getting 300 followers I’m having an #FBRParty. Maybe this will help me get to 500? Let's start this #FBR Party 🎉 now!  ❤️LIKE 🚓Follow everyone that Retweets 👄COMMENT  😱FOLLOW BACK  😁HAVE FUN https://t.co/XlKzgpYxu2	@1461TinyDays  https://t.co/Ks4lQeJ8Df
Do you support restricting firearms purchases to people age 21 or over?  No, age is not necessarily equivalent to maturity.	Do you support banning accessories like bump stocks &amp; trigger cranks that make a semi-auto firearm fire much faster?  No (due to principle).
Do you support banning accessories like bump stocks &amp; trigger cranks that make a semi-auto firearm fire much faster?  No (due to principle).	@0xdeadbabe Eh?  Bump stocks are automatic weapons.  I don't see why we should allow low-quality machine guns but disallow well-designed ones.  Both should be restricted to dealers/ranges/etc.
Do you support banning accessories like bump stocks &amp; trigger cranks that make a semi-auto firearm fire much faster?  No (due to principle).	Do you support limiting velocity of firearms (about 3000 feet per second for an AR-15) to reduce lethality/damage of hits?  No (and the question is a bit silly).
@EdKrassen ONLY if you have a permit. And to get that you need to apply for it. You need to get fingerprinted, have a BG check, and a doctor to sign off on you. Anyone that has a history of DUIs, history of serious psychiatric diagnosis, or any treatment for alcohol 1/x	@EdKrassen ... can’t get a permit. It takes 14 days for you to get your permit once you apply. So yeah, you can buy an AR-15 in Hawaii... IF you can get a permit for it. 2/2
BREAKING: Active shooter situation at Central Michigan University; campus on lockdown https://t.co/xiDRebWBPI	@13WHAM You've got to be giving kidding me with this shit #EnoughIsEnough #NeverAgain #DoSomething
Florida high school shooting suspect was on rifle team that got NRA grant https://t.co/CbjedBs0R6 #10TV #StonemanShooting https://t.co/DCyO7ZKiKb	@10TV Keep spinning it all you want...He was a mentally disturbed kid who followed #antifa and was nothing but a follower of their hate...#NRA didn't load the gun, go to the school, and pulled the trigger to kill
HJ Res 40 stopped reporting mental incapacity to prevent gun purchases:  Co-sponsors: Paul Cook Duncan Hunter Doug LaMalfa Tom McClintock Devin Nunes  Voted Yes: Jeff Denham David Valadao Kevin McCarthy Steve Knight Ed Royce Ken Calvert Mimi Walters Dana Rohrabacher Darrell Issa	@14_flippn_seats .@RepMcClintock response to a #CA04 constituent re: latest school shooting. Weak argument at best. Took ~90K #NRABloodMoney #VoteBlue2018 https://t.co/hNqrNx5ze9
Typical Idiot Republican response. Arm the teachers and nurses etc. Make our society a open war zone. Do not in any circumstance use common sense and take these weapon of death and killing out of the public's hands. Heaven forbid we join the rest of the civilized world. https://t.co/CycU0uoSHX	@14countries our school are prison like now!!! if they would just remove assault weapons things would be less dangerous!
2 state senators in Ohio propose statewide ban on assault weapons https://t.co/2MXyvTWj40 #10TV https://t.co/3NdfFiOzKt	@10TV Because the industry and GOP failed to provide sensible reforms and common sense controls, humanity will step in. Support the bans. #GunReformNow
2 state senators in Ohio propose statewide ban on assault weapons https://t.co/2MXyvTWj40 #10TV https://t.co/3NdfFiOzKt	@10TV Support this 100%. #GunReformNow
2 state senators in Ohio propose statewide ban on assault weapons https://t.co/2MXyvTWj40 #10TV https://t.co/3NdfFiOzKt	@10TV No civilian needs an assault rifle.
2 state senators in Ohio propose statewide ban on assault weapons https://t.co/2MXyvTWj40 #10TV https://t.co/3NdfFiOzKt	@10TV 😠 These Dems want to ban ALL semi-autos that can hold mags with more than 10 bullets. That's 99% of guns ... which is their plan! #2A
2 state senators in Ohio propose statewide ban on assault weapons https://t.co/2MXyvTWj40 #10TV https://t.co/3NdfFiOzKt	@10TV No way!! They are outliers. This state has advanced gun rights and we will not be turned back by Democrat opportunists!! From my cold dead hand will they ever get my AR-15!!!! #GunReformNow
2 state senators in Ohio propose statewide ban on assault weapons https://t.co/2MXyvTWj40 #10TV https://t.co/3NdfFiOzKt	@10TV Well I know of quite a few people who are going to get amazingly rich when/if it happens. And all the so-called assault weapons flooding into the state will be unregistered. Think about it!
